var,state,year,value,occupation_group
ICT Managers,base,2030,73.3186,O1 MANAGERS
ICT Managers,base,2031,74.6548,O1 MANAGERS
ICT Managers,base,2032,75.9957,O1 MANAGERS
ICT Managers,base,2033,77.3409,O1 MANAGERS
ICT Managers,base,2034,78.6901,O1 MANAGERS
ICT Managers,base,2035,80.0433,O1 MANAGERS
ICT Managers,base,2036,81.4005,O1 MANAGERS
ICT Managers,base,2037,82.7621,O1 MANAGERS
ICT Managers,base,2038,84.1297,O1 MANAGERS
ICT Managers,base,2039,85.5037,O1 MANAGERS
ICT Managers,base,2040,86.8843,O1 MANAGERS
ICT Managers,base,2041,88.2717,O1 MANAGERS
ICT Managers,base,2042,89.6665,O1 MANAGERS
ICT Managers,base,2043,91.0687,O1 MANAGERS
ICT Managers,base,2044,92.4788,O1 MANAGERS
ICT Managers,base,2045,93.8973,O1 MANAGERS
ICT Managers,base,2046,95.3245,O1 MANAGERS
ICT Managers,base,2047,96.7612,O1 MANAGERS
ICT Managers,base,2048,98.208,O1 MANAGERS
ICT Managers,base,2049,99.666,O1 MANAGERS
ICT Managers,base,2050,101.136,O1 MANAGERS
Miscellaneous Specialist Managers,base,2020,61.0414,O1 MANAGERS
Miscellaneous Specialist Managers,base,2021,61.0998,O1 MANAGERS
Miscellaneous Specialist Managers,base,2022,61.3523,O1 MANAGERS
Miscellaneous Specialist Managers,base,2023,61.7195,O1 MANAGERS
Miscellaneous Specialist Managers,base,2024,62.6094,O1 MANAGERS
Miscellaneous Specialist Managers,base,2025,63.1668,O1 MANAGERS
Miscellaneous Specialist Managers,base,2026,64.1324,O1 MANAGERS
Miscellaneous Specialist Managers,base,2027,65.1671,O1 MANAGERS
Miscellaneous Specialist Managers,base,2028,66.2012,O1 MANAGERS
Miscellaneous Specialist Managers,base,2029,67.2434,O1 MANAGERS
Miscellaneous Specialist Managers,base,2030,68.288,O1 MANAGERS
Miscellaneous Specialist Managers,base,2031,69.3331,O1 MANAGERS
Miscellaneous Specialist Managers,base,2032,70.3774,O1 MANAGERS
Miscellaneous Specialist Managers,base,2033,71.4208,O1 MANAGERS
Miscellaneous Specialist Managers,base,2034,72.4637,O1 MANAGERS
Miscellaneous Specialist Managers,base,2035,73.5059,O1 MANAGERS
Miscellaneous Specialist Managers,base,2036,74.5475,O1 MANAGERS
Miscellaneous Specialist Managers,base,2037,75.5886,O1 MANAGERS
Miscellaneous Specialist Managers,base,2038,76.6307,O1 MANAGERS
Miscellaneous Specialist Managers,base,2039,77.674,O1 MANAGERS
Miscellaneous Specialist Managers,base,2040,78.7185,O1 MANAGERS
Miscellaneous Specialist Managers,base,2041,79.7645,O1 MANAGERS
Miscellaneous Specialist Managers,base,2042,80.8122,O1 MANAGERS
Miscellaneous Specialist Managers,base,2043,81.8617,O1 MANAGERS
Miscellaneous Specialist Managers,base,2044,82.9134,O1 MANAGERS
Miscellaneous Specialist Managers,base,2045,83.9676,O1 MANAGERS
Miscellaneous Specialist Managers,base,2046,85.0246,O1 MANAGERS
Miscellaneous Specialist Managers,base,2047,86.0848,O1 MANAGERS
Miscellaneous Specialist Managers,base,2048,87.1489,O1 MANAGERS
Miscellaneous Specialist Managers,base,2049,88.2176,O1 MANAGERS
Miscellaneous Specialist Managers,base,2050,89.2915,O1 MANAGERS
Accommodation and Hospitality Managers,base,2020,102.9162,O1 MANAGERS
Accommodation and Hospitality Managers,base,2021,103.5215,O1 MANAGERS
Accommodation and Hospitality Managers,base,2022,108.7658,O1 MANAGERS
Accommodation and Hospitality Managers,base,2023,112.7012,O1 MANAGERS
Accommodation and Hospitality Managers,base,2024,113.7862,O1 MANAGERS
Accommodation and Hospitality Managers,base,2025,117.6727,O1 MANAGERS
Accommodation and Hospitality Managers,base,2026,120.3259,O1 MANAGERS
Accommodation and Hospitality Managers,base,2027,123.0613,O1 MANAGERS
Accommodation and Hospitality Managers,base,2028,125.7999,O1 MANAGERS
Accommodation and Hospitality Managers,base,2029,128.5542,O1 MANAGERS
Accommodation and Hospitality Managers,base,2030,131.3164,O1 MANAGERS
Accommodation and Hospitality Managers,base,2031,134.0865,O1 MANAGERS
Accommodation and Hospitality Managers,base,2032,136.865,O1 MANAGERS
Accommodation and Hospitality Managers,base,2033,139.6521,O1 MANAGERS
Accommodation and Hospitality Managers,base,2034,142.4477,O1 MANAGERS
Accommodation and Hospitality Managers,base,2035,145.2524,O1 MANAGERS
Accommodation and Hospitality Managers,base,2036,148.067,O1 MANAGERS
Accommodation and Hospitality Managers,base,2037,150.8919,O1 MANAGERS
Accommodation and Hospitality Managers,base,2038,153.7304,O1 MANAGERS
Accommodation and Hospitality Managers,base,2039,156.5837,O1 MANAGERS
Accommodation and Hospitality Managers,base,2040,159.4524,O1 MANAGERS
Accommodation and Hospitality Managers,base,2041,162.3374,O1 MANAGERS
Accommodation and Hospitality Managers,base,2042,165.2396,O1 MANAGERS
Accommodation and Hospitality Managers,base,2043,168.1595,O1 MANAGERS
Accommodation and Hospitality Managers,base,2044,171.098,O1 MANAGERS
Accommodation and Hospitality Managers,base,2045,174.0559,O1 MANAGERS
Accommodation and Hospitality Managers,base,2046,177.0341,O1 MANAGERS
Accommodation and Hospitality Managers,base,2047,180.0337,O1 MANAGERS
Accommodation and Hospitality Managers,base,2048,183.0561,O1 MANAGERS
Accommodation and Hospitality Managers,base,2049,186.1028,O1 MANAGERS
Accommodation and Hospitality Managers,base,2050,189.1754,O1 MANAGERS
Retail Managers,base,2020,243.0033,O1 MANAGERS
Retail Managers,base,2021,229.2768,O1 MANAGERS
Retail Managers,base,2022,236.2653,O1 MANAGERS
Retail Managers,base,2023,239.8857,O1 MANAGERS
Retail Managers,base,2024,244.6027,O1 MANAGERS
Retail Managers,base,2025,252.2293,O1 MANAGERS
